id,perc_premium_paid_by_cash_credit,age_in_days,Income,Count_3-6_months_late,Count_6-12_months_late,Count_more_than_12_months_late,application_underwriting_score,no_of_premiums_paid,sourcing_channel,residence_area_type,premium,target,name,age,income,occupation,insurance,Occupation_Type
80850,0.049,10598,165070,0.0,0.0,0.0,99.88,10,A,Urban,9600,1,Jeremy Morris,55,241904,Nurse,Starlite Basic,Other
101809,0.383,26294,246120,0.0,0.0,0.0,98.51,15,A,Rural,13800,1,Willie Harper,58,671113,Software Engineer,MaxBupa Silver,White Collar
106882,0.032,32133,250110,1.0,0.0,0.0,99.87,12,A,Rural,18000,0,Jasmine Ward,33,389806,Software Engineer,Starlite Basic,White Collar
4969,0.0,30668,45140,0.0,0.0,0.0,99.48,9,A,Rural,5700,1,Andrew Gill,27,174941,Construction Worker,MaxBupa Gold,Blue Collar
54256,0.005,27024,24030,0.0,0.0,0.0,99.89,11,A,Urban,5700,1,Joseph Mcdaniel,54,397249,Nurse,MaxBupa Silver,Other
94199,0.045,32855,105590,0.0,0.0,0.0,99.88,3,A,Urban,7500,1,David Bell,21,577479,Software Engineer,MaxBupa Silver,White Collar
30453,0.292,10230,225060,0.0,0.0,0.0,99.23,8,B,Rural,18000,1,Joel Craig,58,139097,Shopkeeper,Starlite Basic,Other
33644,0.023,11695,104040,0.0,0.0,0.0,99.33,11,A,Urban,7500,1,Carrie Walker,28,320236,Teacher,MaxBupa Gold,White Collar
69021,0.224,24468,263490,0.0,0.0,0.0,99.14,11,B,Rural,7500,1,Angela Pittman,46,256750,Driver,MaxBupa Silver,Blue Collar
103859,0.012,30671,65040,0.0,0.0,0.0,97.64,6,A,Urban,5400,1,Gregory Wall,64,287728,Driver,Starlite Basic,Blue Collar
38342,0.0,18629,450080,0.0,0.0,0.0,98.93,8,D,Rural,1200,1,Mark Peterson,41,111710,Farmer,Starlite Basic,Blue Collar
90990,0.291,21545,79380,0.0,0.0,0.0,97.15,14,A,Rural,9600,1,Monique Blanchard,20,325381,Shopkeeper,Starlite Basic,Other
47495,0.039,24464,210050,0.0,0.0,0.0,99.37,13,A,Urban,11700,1,Alexander Chang,62,188568,Driver,Starlite Basic,Blue Collar
71292,0.976,10228,57040,0.0,0.0,0.0,99.24,5,A,Rural,1200,1,Melissa Lewis,19,307150,Shopkeeper,Starlite Basic,Other
109039,0.031,21544,77380,0.0,0.0,0.0,99.67,9,D,Rural,1200,1,Brandon Marshall,38,185932,Driver,Starlite Basic,Blue Collar
81586,0.042,24464,67140,0.0,0.0,0.0,99.88,8,A,Rural,1200,1,Kelly Munoz,43,342837,Teacher,MaxBupa Silver,White Collar
44856,0.31,23737,322430,0.0,0.0,0.0,99.36,9,A,Rural,34800,1,Ronnie Ochoa,25,167880,Nurse,MaxBupa Silver,Other
2337,0.043,29577,90100,0.0,0.0,0.0,99.87,5,A,Rural,3300,1,Matthew Brown,19,16937,Student,MaxBupa Gold,White Collar
93990,0.58,10227,119220,0.0,0.0,0.0,99.63,5,A,Urban,5400,1,Linda Yates,22,293738,Farmer,Starlite Premium,Blue Collar
45852,0.942,16795,240050,3.0,1.0,3.0,99.27,10,D,Urban,11700,1,Dawn Ware,28,460766,Software Engineer,Starlite Basic,White Collar
71282,1.0,29570,25540,0.0,0.0,0.0,99.73,3,A,Urban,1200,1,Andrea Franklin,26,621240,Doctor,Starlite Basic,White Collar
99587,0.221,16804,222100,1.0,0.0,0.0,98.65,12,A,Urban,15900,1,Joanna Henry DVM,43,642626,Software Engineer,Starlite Premium,White Collar
18479,1.0,10590,153730,0.0,5.0,0.0,99.69,6,A,Urban,9600,1,Justin Fischer,32,330021,Nurse,MaxBupa Silver,Other
15896,0.087,32128,230050,0.0,0.0,0.0,99.86,14,A,Urban,18000,1,Jody Rogers,51,538774,Doctor,Starlite Basic,White Collar
45465,0.639,10233,60050,0.0,0.0,0.0,99.34,7,A,Urban,3300,1,Michael Beck,60,265261,Nurse,MaxBupa Gold,Other
71772,1.0,31760,63090,0.0,0.0,0.0,99.87,7,A,Rural,1200,1,Rebecca Ramsey,18,263052,Lawyer,Starlite Basic,Other
45956,1.0,10230,144050,0.0,9.0,0.0,99.63,5,B,Urban,5400,1,Wanda Rios,38,495969,Teacher,Starlite Basic,White Collar
78469,0.055,19352,423150,0.0,0.0,0.0,99.12,11,C,Rural,11700,1,Taylor Hawkins,49,300415,Teacher,Starlite Basic,White Collar
64139,0.032,24461,75140,0.0,0.0,0.0,,7,A,Urban,5700,1,Corey Fisher,55,577117,Doctor,Starlite Basic,White Collar
33330,0.987,14979,60090,1.0,0.0,0.0,99.72,5,A,Rural,5400,1,Michelle Cook,56,304386,Teacher,MaxBupa Silver,White Collar
102845,0.122,16802,57330,0.0,0.0,0.0,99.16,8,D,Urban,1200,1,James Lee,39,241944,Nurse,Starlite Basic,Other
60461,0.115,16800,125030,0.0,0.0,0.0,99.1,9,A,Urban,7500,1,Jessica Mathis,37,265684,Teacher,Starlite Basic,White Collar
48348,0.026,36870,50050,0.0,0.0,0.0,99.87,7,A,Rural,5700,1,Linda Clark,35,486108,Software Engineer,Starlite Basic,White Collar
41593,0.073,14614,152630,0.0,0.0,0.0,98.83,9,A,Urban,9600,1,Chelsea Mills,25,535003,Software Engineer,MaxBupa Gold,White Collar
57555,0.121,27019,120030,0.0,0.0,0.0,99.04,14,A,Urban,9600,1,Patricia Adams,34,419846,Teacher,Starlite Basic,White Collar
91122,0.063,10234,27040,0.0,0.0,0.0,98.54,7,A,Urban,1200,1,Kelsey Woodard,51,158450,Construction Worker,Starlite Premium,Blue Collar
107628,0.04,32859,169900,0.0,0.0,1.0,99.45,14,A,Urban,9600,1,Emily Curtis,49,231112,Construction Worker,Starlite Basic,Blue Collar
9972,0.011,20085,290100,0.0,0.0,0.0,99.4,14,A,Urban,15900,1,Christine Dawson,43,670607,Software Engineer,Starlite Basic,White Collar
10616,0.174,18630,321990,1.0,0.0,0.0,99.81,13,C,Urban,24300,1,Gregory Jones,33,629811,Software Engineer,Starlite Basic,White Collar
29890,0.248,20081,152530,0.0,0.0,0.0,99.21,11,D,Rural,5400,1,Kelly Romero,40,175169,Shopkeeper,Starlite Premium,Other
2695,0.162,13151,375100,0.0,0.0,0.0,99.27,6,B,Rural,18000,1,Jasmine Spencer DDS,37,228208,Nurse,Starlite Premium,Other
107348,0.006,32127,105100,0.0,0.0,0.0,99.89,7,A,Urban,5700,1,Steven Adkins,36,378680,Software Engineer,Starlite Basic,White Collar
111671,0.329,16803,563100,0.0,0.0,0.0,99.75,11,D,Urban,41100,1,Sarah Peterson,63,185403,Lawyer,Starlite Basic,Other
54216,0.05,31395,75040,0.0,0.0,0.0,99.78,15,A,Rural,3300,1,Christy Warren,56,249405,Teacher,Starlite Basic,White Collar
95628,0.786,10231,105090,0.0,0.0,0.0,99.35,10,A,Urban,5400,1,Stephanie Castillo,41,462702,Teacher,Starlite Premium,White Collar
19027,0.01,32498,165780,0.0,0.0,0.0,99.89,6,A,Rural,13800,1,Maria Hunt,31,637262,Software Engineer,Starlite Basic,White Collar
67283,0.002,34325,201890,0.0,0.0,0.0,,8,A,Urban,5400,1,Steve Obrien,40,186906,Shopkeeper,Starlite Basic,Other
84501,0.017,33229,75140,0.0,0.0,0.0,99.86,11,A,Urban,5700,1,Tony Phillips,28,416437,Software Engineer,MaxBupa Silver,White Collar
42920,0.009,30673,33130,0.0,0.0,0.0,99.88,9,A,Urban,1200,1,Brooke May,46,193982,Lawyer,Starlite Basic,Other
63030,0.318,14973,180110,0.0,0.0,0.0,98.88,11,D,Rural,5400,1,Mr. Jeffrey Johnson,53,657671,Software Engineer,Starlite Premium,White Collar
21410,0.029,21550,75120,1.0,0.0,0.0,98.55,18,A,Rural,5700,1,Matthew Taylor,50,201086,Shopkeeper,MaxBupa Silver,Other
89117,0.034,30666,135090,0.0,0.0,0.0,94.87,18,A,Urban,9600,1,Shannon Fischer,19,296376,Shopkeeper,MaxBupa Gold,Other
46021,0.01,26652,86380,0.0,0.0,0.0,98.21,13,A,Urban,3300,1,Natalie Boone,42,674275,Software Engineer,MaxBupa Silver,White Collar
50695,0.0,34686,71160,0.0,0.0,0.0,,3,A,Urban,3300,1,Pamela Collins,54,369712,Teacher,Starlite Basic,White Collar
67942,0.11,37239,102580,0.0,0.0,0.0,99.27,9,B,Urban,7500,1,Brian Smith,62,239529,Driver,MaxBupa Gold,Blue Collar
48159,0.023,31769,202330,0.0,0.0,0.0,99.49,8,A,Rural,13800,1,Brooke Garza,39,255104,Nurse,Starlite Premium,Other
2921,1.0,10591,93150,0.0,0.0,0.0,99.73,4,A,Urban,5700,1,Richard Owens,59,628459,Software Engineer,Starlite Basic,White Collar
7760,0.021,13875,330100,0.0,0.0,0.0,99.88,15,A,Urban,20100,1,Douglas Bell,32,103324,Farmer,MaxBupa Gold,Blue Collar
28237,1.0,31770,96960,0.0,0.0,0.0,,6,A,Urban,11700,1,Dana Fox,42,179677,Shopkeeper,Starlite Basic,Other
92943,0.247,10590,162060,0.0,0.0,0.0,98.43,17,A,Urban,5400,1,Barbara Willis,53,201438,Driver,Starlite Basic,Blue Collar
1381,0.347,24466,97620,0.0,0.0,0.0,98.63,10,B,Rural,11700,1,Kevin Morgan,23,271203,Teacher,Starlite Basic,White Collar
69770,0.0,23739,200100,0.0,0.0,0.0,98.69,15,A,Rural,11700,1,Laura Green,39,464916,Teacher,MaxBupa Silver,White Collar
51872,0.006,30665,102110,0.0,0.0,0.0,99.89,12,B,Rural,1200,1,Michael Smith,57,239005,Nurse,Starlite Basic,Other
93568,0.936,29578,216130,0.0,0.0,0.0,97.62,9,A,Rural,1200,1,Mary Wolf,41,121109,Shopkeeper,MaxBupa Gold,Other
102510,0.786,19360,225070,1.0,1.0,0.0,98.93,11,B,Rural,22200,1,Cody Brown,38,634981,Software Engineer,MaxBupa Silver,White Collar
1381,0.347,24466,97620,0.0,0.0,0.0,98.63,10,B,Rural,11700,1,Debra Kaiser,56,337388,Nurse,Starlite Basic,Other
10623,0.775,18629,204480,0.0,0.0,3.0,99.53,6,D,Urban,9600,1,Douglas Herrera,51,270242,Driver,MaxBupa Silver,Blue Collar
100803,0.009,35784,28550,1.0,0.0,0.0,98.44,10,A,Urban,5700,1,Thomas Shah,41,286403,Teacher,Starlite Premium,White Collar
82614,0.109,24464,199520,0.0,0.0,0.0,98.84,11,A,Urban,9600,1,Patricia Green,55,419206,Teacher,Starlite Basic,White Collar
93839,0.012,20089,512560,0.0,0.0,0.0,99.46,5,A,Urban,18000,1,Kyle Murillo,20,294636,Construction Worker,MaxBupa Silver,Blue Collar
113721,0.655,30303,42070,0.0,0.0,0.0,99.3,5,A,Urban,3300,1,Michelle Sutton,38,352949,Shopkeeper,Starlite Basic,Other
81405,0.008,32129,50070,0.0,0.0,0.0,99.88,12,A,Urban,5400,1,Seth Harvey,48,674780,Software Engineer,MaxBupa Silver,White Collar
5358,0.696,29574,206980,0.0,0.0,0.0,98.38,10,A,Rural,9600,1,Jeanne Christensen,41,331881,Driver,Starlite Basic,Blue Collar
50912,0.049,29577,315120,0.0,0.0,0.0,99.56,14,A,Urban,20100,1,Ashley Marquez,26,125976,Nurse,Starlite Basic,Other
36604,0.966,14978,114040,1.0,4.0,1.0,99.64,6,D,Rural,5400,0,Derek Clark,47,598863,Software Engineer,Starlite Basic,White Collar
38246,1.0,10593,39800,0.0,1.0,0.0,99.24,3,A,Urban,5700,0,Shelley Smith,56,337883,Driver,Starlite Basic,Blue Collar
43249,0.049,31761,375090,0.0,0.0,0.0,99.88,11,B,Rural,20100,1,Tina Davidson,18,151280,Construction Worker,Starlite Basic,Blue Collar
88621,0.007,31761,30040,0.0,0.0,0.0,99.89,12,A,Rural,5700,1,Bradley Anderson,54,124517,Shopkeeper,Starlite Basic,Other
889,1.0,31770,150410,0.0,0.0,0.0,99.7,12,A,Urban,5400,1,Cynthia Stevenson,46,631822,Software Engineer,Starlite Premium,White Collar
48955,0.459,30667,127580,0.0,0.0,0.0,98.59,17,A,Rural,9600,0,Nicholas Lawrence,45,273559,Construction Worker,Starlite Basic,Blue Collar
86263,0.645,20085,157620,1.0,0.0,0.0,99.24,10,A,Rural,9600,1,Alexandria Mullen,50,287096,Shopkeeper,Starlite Basic,Other
105120,1.0,20090,149560,0.0,1.0,0.0,99.59,3,A,Rural,7500,0,Allen Morales,52,344942,Software Engineer,MaxBupa Silver,White Collar
107773,0.117,32865,99990,0.0,0.0,0.0,99.88,7,A,Urban,5400,1,Laura Burns,49,505313,Software Engineer,Starlite Basic,White Collar
82267,0.008,10225,150140,0.0,0.0,0.0,98.57,7,C,Urban,11700,1,Debra Terrell,25,634047,Doctor,Starlite Basic,White Collar
77160,0.001,29579,62590,0.0,0.0,0.0,99.65,14,A,Rural,5700,1,Misty Singleton,57,797718,Doctor,MaxBupa Gold,White Collar
87930,0.007,32861,180540,0.0,0.0,0.0,,5,A,Urban,9600,1,Paul Chen,59,302814,Driver,Starlite Premium,Blue Collar
43212,0.96,27019,144050,3.0,0.0,0.0,99.46,10,A,Urban,7500,1,Christopher Wright,25,19481,Student,Starlite Premium,White Collar
53314,0.015,10597,90080,0.0,0.0,0.0,99.56,7,A,Rural,3300,1,Daniel Pham,54,347285,Nurse,MaxBupa Silver,Other
47585,0.747,14973,343950,0.0,0.0,0.0,98.86,15,B,Urban,18000,1,James Brown,26,663230,Software Engineer,Starlite Basic,White Collar
9234,0.004,24470,247550,0.0,0.0,0.0,99.64,11,A,Urban,9600,1,Dustin Johnson,45,302157,Lawyer,Starlite Basic,Other
105294,0.0,18621,162750,0.0,0.0,0.0,99.41,8,A,Rural,7500,1,Michael Ruiz,57,268550,Driver,MaxBupa Gold,Blue Collar
13928,0.008,21907,510090,0.0,0.0,0.0,99.45,12,A,Urban,30600,1,Richard Chambers,52,292673,Farmer,Starlite Basic,Blue Collar
86385,0.008,23366,90120,0.0,0.0,0.0,99.17,7,A,Urban,5400,1,Tiffany Lindsey,58,390401,Software Engineer,Starlite Basic,White Collar
44256,0.98,10960,115570,3.0,1.0,0.0,99.29,7,D,Urban,5400,0,Carla Nelson,43,366207,Lawyer,MaxBupa Silver,Other
97165,0.88,16803,225140,1.0,1.0,0.0,99.73,10,C,Rural,20100,1,Breanna Webb,52,556939,Software Engineer,Starlite Basic,White Collar
66978,1.0,18627,254660,0.0,0.0,0.0,97.31,13,B,Urban,3300,1,Lisa Juarez,20,140861,Farmer,Starlite Basic,Blue Collar
28828,0.076,21915,82300,0.0,0.0,0.0,98.7,14,A,Urban,3300,1,Andrea Harding,44,453116,Software Engineer,Starlite Basic,White Collar
14152,0.6,21914,120070,0.0,0.0,0.0,98.29,16,B,Urban,11700,1,Elizabeth Williams,46,250448,Teacher,Starlite Premium,White Collar
35050,0.012,31766,45090,0.0,0.0,0.0,99.87,5,A,Rural,3300,1,Elizabeth Villarreal,43,340024,Nurse,Starlite Basic,Other
35692,0.186,14977,510130,0.0,0.0,0.0,99.22,33,B,Urban,22200,1,Christine Mata,42,222340,Driver,Starlite Basic,Blue Collar
33983,0.082,24463,59280,0.0,0.0,0.0,99.23,11,B,Urban,3300,1,Robert Robbins,25,35298,Student,MaxBupa Silver,White Collar
14918,0.134,20087,217590,0.0,0.0,0.0,99.01,24,C,Urban,3300,1,Dennis Fowler,37,616091,Software Engineer,MaxBupa Silver,White Collar
8776,0.055,29210,123050,0.0,0.0,0.0,99.03,8,B,Urban,7500,1,Julian Smith,39,199676,Farmer,Starlite Basic,Blue Collar
111592,0.009,16797,168110,0.0,0.0,0.0,99.0,13,A,Urban,7500,1,Benjamin Chavez,37,244812,Teacher,Starlite Basic,White Collar
111619,0.983,25924,152380,0.0,0.0,0.0,98.11,16,A,Urban,5400,1,Charles Cervantes,32,641231,Software Engineer,MaxBupa Silver,White Collar
89616,0.129,11690,125060,0.0,0.0,0.0,99.13,9,A,Rural,1200,1,Andrew Turner,59,156198,Shopkeeper,MaxBupa Silver,Other
51584,0.0,21910,57580,0.0,0.0,0.0,99.07,4,A,Urban,5700,1,Alicia Gibson,38,255077,Construction Worker,Starlite Premium,Blue Collar
5020,0.873,10965,166560,4.0,0.0,0.0,98.93,13,C,Rural,13800,1,Aaron Hernandez,42,657734,Software Engineer,Starlite Basic,White Collar
53837,0.067,10965,73250,0.0,0.0,0.0,99.78,11,A,Urban,5400,1,James Davis,47,153555,Driver,MaxBupa Silver,Blue Collar
76587,0.0,10231,125050,0.0,0.0,0.0,99.69,7,A,Rural,9600,1,Randy Sherman,60,373690,Software Engineer,MaxBupa Silver,White Collar
31808,1.0,32135,250090,0.0,0.0,0.0,99.29,4,A,Urban,13800,1,Ricardo Acosta,42,103008,Lawyer,Starlite Premium,Other
111319,1.0,37602,48130,0.0,0.0,0.0,,5,A,Rural,1200,1,Gregory Ortega,25,10826,Student,MaxBupa Silver,White Collar
86621,0.373,20083,389630,0.0,0.0,0.0,98.94,10,B,Urban,30600,1,Christopher Baldwin,37,403534,Teacher,Starlite Basic,White Collar
57701,0.106,10592,131420,0.0,0.0,0.0,99.33,8,D,Urban,1200,1,Timothy Smith,22,34312,Student,MaxBupa Silver,White Collar
8722,0.009,32859,67400,0.0,0.0,0.0,,8,A,Urban,1200,1,Eric Kerr,62,245390,Shopkeeper,MaxBupa Gold,Other
58591,0.0,16804,650040,0.0,0.0,0.0,99.37,20,A,Rural,60000,1,Sandra Douglas,45,397534,Nurse,MaxBupa Silver,Other
1883,0.094,26655,150090,0.0,0.0,0.0,99.63,6,A,Urban,9600,1,Mrs. Laura Evans DVM,37,180709,Nurse,Starlite Premium,Other
28165,0.331,12783,287620,0.0,0.0,0.0,99.58,9,A,Urban,34800,1,Kevin Smith,41,258473,Driver,MaxBupa Silver,Blue Collar
102413,0.001,31405,67460,0.0,0.0,0.0,,12,A,Urban,3300,1,Brett Fuller,59,101845,Nurse,Starlite Basic,Other
7248,0.01,37240,99060,0.0,0.0,0.0,99.89,5,A,Urban,3300,1,Teresa Zuniga,57,752334,Doctor,MaxBupa Silver,White Collar
51853,0.004,31760,87570,0.0,0.0,0.0,99.89,10,A,Urban,5400,1,Amy Rich,47,617269,Software Engineer,MaxBupa Silver,White Collar
113380,0.015,29579,160130,0.0,0.0,0.0,99.57,7,B,Urban,9600,1,Mark Johnson,54,279235,Driver,MaxBupa Silver,Blue Collar
29182,0.307,20455,240090,0.0,0.0,0.0,98.87,20,B,Rural,11700,1,Sheila Alexander,38,591859,Software Engineer,Starlite Premium,White Collar
56639,0.693,17167,303650,3.0,0.0,1.0,98.91,12,A,Urban,22200,1,Kevin Rogers,50,218028,Farmer,Starlite Basic,Blue Collar
62931,0.152,24467,150530,0.0,0.0,0.0,99.4,16,A,Urban,13800,1,Susan Fowler,54,181981,Nurse,Starlite Premium,Other
59722,0.101,16801,173540,0.0,0.0,0.0,99.28,9,A,Urban,5400,1,Catherine Padilla,39,142693,Shopkeeper,MaxBupa Gold,Other
82946,0.439,23730,297570,2.0,1.0,0.0,98.97,20,A,Urban,20100,1,Kelly Hall,25,458745,Teacher,Starlite Basic,White Collar
75641,0.281,32134,90110,0.0,0.0,0.0,98.03,13,A,Rural,1200,1,Anita Walker,56,223932,Teacher,Starlite Basic,White Collar
105001,1.0,10227,59500,0.0,0.0,0.0,,3,A,Urban,3300,1,Dr. Madison Perez,55,291285,Teacher,MaxBupa Gold,White Collar
27146,0.369,16801,66060,1.0,0.0,0.0,96.53,12,A,Rural,5400,1,Elizabeth Murray,38,134702,Lawyer,Starlite Premium,Other
96291,1.0,33228,72070,0.0,0.0,0.0,,3,A,Urban,5400,1,Kimberly Jennings,59,236272,Teacher,Starlite Basic,White Collar
60322,0.0,32130,114360,0.0,0.0,0.0,,3,A,Urban,7500,1,Jasmine Alvarez,31,224685,Driver,Starlite Premium,Blue Collar
1045,0.16,23739,235330,0.0,0.0,0.0,99.49,14,A,Rural,22200,1,Jason Crosby,49,294106,Farmer,MaxBupa Silver,Blue Collar
62993,0.599,18621,228030,0.0,0.0,0.0,99.75,6,A,Urban,9600,1,Evan Rodriguez,24,196248,Shopkeeper,Starlite Basic,Other
68436,0.93,20454,221390,2.0,0.0,0.0,99.15,9,A,Urban,9600,1,Lisa Martinez,32,198568,Nurse,MaxBupa Silver,Other
33863,0.148,16805,300090,1.0,0.0,0.0,99.75,8,A,Urban,20100,1,Brandon Ortiz,59,132024,Farmer,Starlite Basic,Blue Collar
64150,0.017,33950,36080,0.0,0.0,0.0,99.88,5,A,Urban,5700,1,David Mathis,44,321148,Nurse,Starlite Basic,Other
77865,0.21,29210,35330,0.0,0.0,0.0,98.87,5,A,Urban,3300,1,Derek West,33,332301,Teacher,Starlite Premium,White Collar
44379,0.072,21540,70030,0.0,0.0,0.0,,3,A,Rural,3300,1,Tiffany Hicks,24,171409,Nurse,MaxBupa Gold,Other
77401,0.154,24467,144140,0.0,0.0,0.0,98.96,12,B,Urban,7500,1,Bruce Clark,48,204652,Driver,MaxBupa Gold,Blue Collar
46711,0.239,21914,195120,0.0,0.0,0.0,99.56,10,A,Urban,13800,1,William Harper,53,401650,Software Engineer,Starlite Premium,White Collar
113038,0.103,21912,180040,0.0,0.0,0.0,99.16,12,B,Rural,5400,1,James Reese,53,169081,Shopkeeper,Starlite Basic,Other
110672,0.017,31762,301470,0.0,0.0,0.0,99.89,7,A,Urban,18000,1,Steven Foster,65,325617,Construction Worker,Starlite Basic,Blue Collar
42818,0.045,29578,187560,0.0,0.0,0.0,99.87,6,A,Urban,1200,1,John Jones,47,463888,Software Engineer,MaxBupa Silver,White Collar
33149,1.0,9505,193410,0.0,0.0,0.0,99.4,7,A,Rural,18000,1,Laurie Gentry,30,185960,Construction Worker,Starlite Basic,Blue Collar
37275,0.212,24461,108520,0.0,0.0,0.0,99.19,15,A,Urban,5400,1,Wesley Shepard,51,179725,Driver,MaxBupa Gold,Blue Collar
56837,0.978,20087,205570,0.0,0.0,0.0,98.95,9,B,Urban,7500,1,Rachel Vincent,37,640018,Software Engineer,Starlite Basic,White Collar
31820,0.534,9496,84080,1.0,0.0,0.0,99.44,7,A,Rural,3300,0,Eric Johnson,61,256766,Driver,Starlite Basic,Blue Collar
34841,0.779,17167,120530,1.0,0.0,0.0,99.03,7,C,Urban,3300,1,Joseph Thompson,33,373867,Teacher,MaxBupa Gold,White Collar
9875,0.019,26659,97560,0.0,0.0,0.0,99.8,24,A,Rural,3300,1,Hailey Jackson DVM,54,321348,Driver,Starlite Premium,Blue Collar
104848,0.903,14610,45070,0.0,0.0,1.0,99.05,7,B,Urban,3300,0,Gregory Spencer,31,697339,Software Engineer,Starlite Premium,White Collar
62001,0.094,18630,306130,0.0,0.0,0.0,99.88,6,D,Rural,20100,1,Rebecca Butler,49,257553,Teacher,MaxBupa Gold,White Collar
95675,0.092,10229,90080,2.0,0.0,0.0,99.7,9,A,Rural,5400,1,Terrence Smith,50,117982,Farmer,Starlite Premium,Blue Collar
104875,0.14,21915,75060,0.0,0.0,0.0,99.55,6,A,Urban,5400,1,Ryan Kennedy,41,323064,Lawyer,Starlite Basic,Other
79582,0.005,14978,193580,1.0,0.0,0.0,98.77,13,A,Urban,9600,1,Eddie Norris,34,623971,Doctor,Starlite Basic,White Collar
57636,0.181,11324,112560,0.0,0.0,0.0,99.67,10,A,Urban,5400,1,Michael Hamilton,29,247946,Driver,Starlite Basic,Blue Collar
74383,0.418,20090,135040,1.0,0.0,1.0,99.65,14,A,Urban,9600,1,Tony Smith,51,246926,Farmer,MaxBupa Silver,Blue Collar
53389,0.034,31760,315150,1.0,0.0,0.0,99.89,19,A,Rural,36900,1,Mr. Ryan Cowan DVM,54,659047,Software Engineer,MaxBupa Silver,White Collar
16997,0.197,10229,45050,0.0,0.0,0.0,99.59,6,A,Urban,5700,1,Lisa Davis,22,15242,Student,Starlite Basic,White Collar
13309,0.017,24468,378490,0.0,0.0,0.0,99.02,18,A,Urban,22200,1,Andrea Burns,41,686317,Software Engineer,Starlite Basic,White Collar
41078,0.882,16433,129180,0.0,0.0,0.0,98.73,16,A,Urban,5400,1,Gabriel Lopez,54,321982,Teacher,MaxBupa Silver,White Collar
63148,0.179,10225,105050,1.0,0.0,0.0,99.5,8,B,Rural,5400,1,Kelly Dorsey,39,252604,Construction Worker,MaxBupa Silver,Blue Collar
35916,0.006,31396,162540,0.0,0.0,0.0,,4,A,Rural,7500,1,Bradley Ortega,40,610464,Software Engineer,Starlite Basic,White Collar
9239,0.384,18622,435050,0.0,0.0,0.0,98.84,14,C,Urban,41100,1,Scott Ramirez,37,209853,Farmer,MaxBupa Silver,Blue Collar
6988,0.022,34320,42120,0.0,0.0,0.0,97.93,9,A,Urban,3300,1,Michael Diaz,33,695431,Software Engineer,Starlite Basic,White Collar
75449,0.273,18624,152580,0.0,0.0,0.0,98.62,12,A,Rural,7500,1,Jose Keller,57,240234,Lawyer,MaxBupa Silver,Other
84971,0.32,14612,180090,0.0,0.0,0.0,98.97,7,C,Urban,3300,1,Steven Robertson,65,130401,Farmer,MaxBupa Gold,Blue Collar
